39476  #SUP: 1 #UTIL: 39
1960  #SUP: 1 #UTIL: 399
17595 39684  #SUP: 1 #UTIL: 399
18678  #SUP: 1 #UTIL: 399
19555  #SUP: 1 #UTIL: 399
19556  #SUP: 1 #UTIL: 399
21488  #SUP: 1 #UTIL: 399
25304  #SUP: 1 #UTIL: 399
25306  #SUP: 1 #UTIL: 399
29168  #SUP: 1 #UTIL: 399
29633  #SUP: 1 #UTIL: 399
6895 6875 6877 6863 6887 6865 6862 6888  #SUP: 1 #UTIL: 400
5076 13750 13746 13743  #SUP: 1 #UTIL: 406
7499 42512  #SUP: 1 #UTIL: 407
18512 18502 39684  #SUP: 1 #UTIL: 408
18667  #SUP: 1 #UTIL: 409
8022 1771 39684 39388  #SUP: 1 #UTIL: 414
3229 1770  #SUP: 1 #UTIL: 418
6975 6976  #SUP: 1 #UTIL: 418
42516 12292  #SUP: 1 #UTIL: 418
31613  #SUP: 1 #UTIL: 419
9482 9074 4469  #SUP: 1 #UTIL: 427
21633 16882  #SUP: 1 #UTIL: 428
22214 35591  #SUP: 1 #UTIL: 428
7265 735  #SUP: 1 #UTIL: 438
1114  #SUP: 1 #UTIL: 439
19384 33488 16156  #SUP: 1 #UTIL: 447
26528 8763 12343  #SUP: 1 #UTIL: 447
39030 13878  #SUP: 1 #UTIL: 449
44232 39681  #SUP: 1 #UTIL: 449
36955 9288 8335 6019  #SUP: 1 #UTIL: 452
10929  #SUP: 2 #UTIL: 238
10929 11864 39256 39684  #SUP: 1 #UTIL: 335
36893 39419  #SUP: 1 #UTIL: 456
36757 23299  #SUP: 1 #UTIL: 458
9690  #SUP: 1 #UTIL: 459
33494  #SUP: 2 #UTIL: 138
33494 10853 1777 39687  #SUP: 1 #UTIL: 392
37297 45135 43917 39684  #SUP: 1 #UTIL: 461
43933 1765  #SUP: 1 #UTIL: 462
32110 16977  #SUP: 1 #UTIL: 464
4006 4021 8138  #SUP: 1 #UTIL: 467
15561 16978  #SUP: 1 #UTIL: 467
34473  #SUP: 1 #UTIL: 469
38658 6026  #SUP: 1 #UTIL: 474
24718 19032 1900 39686  #SUP: 1 #UTIL: 476
1450 1771 36937 16129  #SUP: 1 #UTIL: 477
7453 24111  #SUP: 1 #UTIL: 478
11222  #SUP: 1 #UTIL: 478
15652 6936  #SUP: 1 #UTIL: 478
23954 31174  #SUP: 1 #UTIL: 478
30702 30692 39327 16967  #SUP: 1 #UTIL: 481
6207 16377 7041 7039 18440  #SUP: 1 #UTIL: 488
14125 19847  #SUP: 1 #UTIL: 488
20752 16842  #SUP: 1 #UTIL: 488
34122  #SUP: 1 #UTIL: 489
10598  #SUP: 2 #UTIL: 297
10598 10609  #SUP: 1 #UTIL: 297
26415  #SUP: 1 #UTIL: 495
6433 11560  #SUP: 1 #UTIL: 497
24558 12236 5644  #SUP: 1 #UTIL: 497
43345 43349  #SUP: 1 #UTIL: 497
2893 16879  #SUP: 1 #UTIL: 498
33988 39686  #SUP: 1 #UTIL: 498
34510 37523 13913  #SUP: 1 #UTIL: 498
151  #SUP: 1 #UTIL: 499
558  #SUP: 1 #UTIL: 499
29264  #SUP: 1 #UTIL: 499
29696  #SUP: 1 #UTIL: 499
27147 39684  #SUP: 1 #UTIL: 500
45994 45978  #SUP: 1 #UTIL: 500
31440 31305 39333  #SUP: 1 #UTIL: 501
18930 22371  #SUP: 1 #UTIL: 503
21652 43872 39470 39396  #SUP: 1 #UTIL: 509
5663 5664 5646 4974  #SUP: 1 #UTIL: 516
6740 15350  #SUP: 1 #UTIL: 518
12678 43905 21751  #SUP: 1 #UTIL: 520
1395 28420 21736  #SUP: 1 #UTIL: 525
9518 16975  #SUP: 1 #UTIL: 528
11068 19669  #SUP: 1 #UTIL: 528
23950 2245  #SUP: 1 #UTIL: 528
35627 12343  #SUP: 1 #UTIL: 528
44033 39334  #SUP: 1 #UTIL: 528
2684 39527 39434  #SUP: 1 #UTIL: 531
14914 8328  #SUP: 1 #UTIL: 534
39485 8168 522 2307 39481  #SUP: 1 #UTIL: 535
11228  #SUP: 3 #UTIL: 537
11553 39453 39432  #SUP: 1 #UTIL: 537
23174 23175 11933  #SUP: 1 #UTIL: 537
316 21279  #SUP: 1 #UTIL: 538
6020 15833 13743  #SUP: 1 #UTIL: 538
8738  #SUP: 1 #UTIL: 538
17104 5717  #SUP: 1 #UTIL: 538
30311  #SUP: 2 #UTIL: 538
8235  #SUP: 1 #UTIL: 539
10846  #SUP: 3 #UTIL: 75
10846 23196 5644  #SUP: 1 #UTIL: 193
10846 39256  #SUP: 1 #UTIL: 72
10846 39681  #SUP: 1 #UTIL: 274
33749 30611  #SUP: 1 #UTIL: 539
2563 16986  #SUP: 1 #UTIL: 543
29343 39684  #SUP: 1 #UTIL: 545
43423 27254  #SUP: 1 #UTIL: 545
28868 1637 19818  #SUP: 1 #UTIL: 547
19693 26163  #SUP: 1 #UTIL: 548
26225 31882  #SUP: 1 #UTIL: 548
11000  #SUP: 1 #UTIL: 556
31927 3345 16967  #SUP: 1 #UTIL: 556
6939 6946 6945 6862 6886 6880 13873 13883 11780 11783  #SUP: 1 #UTIL: 557
33771 1839  #SUP: 1 #UTIL: 558
3305  #SUP: 1 #UTIL: 559
10171  #SUP: 1 #UTIL: 559
33687 10842  #SUP: 1 #UTIL: 559
15621 20875 27260  #SUP: 1 #UTIL: 567
33493 11864 1777 39684  #SUP: 1 #UTIL: 567
41913 39334  #SUP: 1 #UTIL: 567
21167 28046  #SUP: 1 #UTIL: 568
30069 5645  #SUP: 1 #UTIL: 568
34127 34933  #SUP: 1 #UTIL: 568
8479  #SUP: 1 #UTIL: 569
27799  #SUP: 1 #UTIL: 569
23375 39388 16967  #SUP: 1 #UTIL: 571
17371 25067 4335 4371  #SUP: 1 #UTIL: 586
24720 5666  #SUP: 1 #UTIL: 586
31018 16156  #SUP: 1 #UTIL: 588
33812 5664 39206  #SUP: 1 #UTIL: 588
31318 31441 31306 32131 32108 3287  #SUP: 1 #UTIL: 594
14038 12237 10782 761  #SUP: 1 #UTIL: 596
11225  #SUP: 2 #UTIL: 597
11440  #SUP: 1 #UTIL: 598
27725 13904  #SUP: 1 #UTIL: 598
36549 43350  #SUP: 1 #UTIL: 598
29666  #SUP: 1 #UTIL: 599
45594  #SUP: 1 #UTIL: 599
36341 36338 37014 205  #SUP: 1 #UTIL: 606
10741 22313 22888  #SUP: 1 #UTIL: 607
34852 5645  #SUP: 1 #UTIL: 607
38858 19461 9013  #SUP: 1 #UTIL: 607
3226 17112 21105  #SUP: 1 #UTIL: 608
3393 39640  #SUP: 1 #UTIL: 608
25261 11194  #SUP: 1 #UTIL: 608
33957 17306 13883  #SUP: 1 #UTIL: 608
10246 12834  #SUP: 1 #UTIL: 609
43927 13718  #SUP: 1 #UTIL: 609
2859 34934 14704 35228  #SUP: 1 #UTIL: 616
39264 2144 16967  #SUP: 1 #UTIL: 617
16958 1770 43765  #SUP: 1 #UTIL: 618
29836 15606 15264  #SUP: 1 #UTIL: 618
4867 37150 12184 12236  #SUP: 1 #UTIL: 626
23433 23301 36116 11780  #SUP: 1 #UTIL: 627
31932 14581  #SUP: 1 #UTIL: 627
24930 15685 18455  #SUP: 1 #UTIL: 628
38651 14172 13736 39432  #SUP: 1 #UTIL: 635
5388 4250 2113  #SUP: 1 #UTIL: 636
34426 16967  #SUP: 1 #UTIL: 638
30319 15841 11824  #SUP: 1 #UTIL: 639
28619 21246 42512 12240 16966 22896  #SUP: 1 #UTIL: 644
30700 668 667 12343  #SUP: 1 #UTIL: 646
32243 20216 32231 31487  #SUP: 1 #UTIL: 646
1229 1697 11768  #SUP: 1 #UTIL: 648
8285 21801  #SUP: 1 #UTIL: 648
2342  #SUP: 1 #UTIL: 649
30766 39684  #SUP: 1 #UTIL: 649
34632 15343 39256 39684  #SUP: 1 #UTIL: 655
5540 23150 13883 39681  #SUP: 1 #UTIL: 656
31651 1780  #SUP: 1 #UTIL: 658
33747 31529  #SUP: 1 #UTIL: 658
34244 10842 1777 39684  #SUP: 1 #UTIL: 658
37516 44880  #SUP: 1 #UTIL: 658
1083 9431 8328 5647  #SUP: 1 #UTIL: 662
27089 9005 14537 8988  #SUP: 1 #UTIL: 665
557 10560 1955 10559  #SUP: 1 #UTIL: 666
3176 43913  #SUP: 1 #UTIL: 666
11131 21489 13873 42290  #SUP: 1 #UTIL: 666
29946 12255  #SUP: 1 #UTIL: 667
27675 17207 15165  #SUP: 1 #UTIL: 668
31599 16975  #SUP: 1 #UTIL: 668
11890 16867 14336 18437 11415  #SUP: 1 #UTIL: 672
13635 3012 14266 4935  #SUP: 1 #UTIL: 675
27568 92 2676 43600  #SUP: 1 #UTIL: 676
32120 32123 14284  #SUP: 1 #UTIL: 677
37769 5646 14533  #SUP: 1 #UTIL: 677
5966  #SUP: 1 #UTIL: 678
11993 28155  #SUP: 1 #UTIL: 678
11998  #SUP: 1 #UTIL: 678
12003  #SUP: 1 #UTIL: 678
26653  #SUP: 1 #UTIL: 678
25070 39143  #SUP: 1 #UTIL: 679
33586 30522 37126 9423 39465  #SUP: 1 #UTIL: 682
43980 44327  #SUP: 1 #UTIL: 684
30214 34933 30228 34935 13883  #SUP: 1 #UTIL: 686
15043 9433 43499  #SUP: 1 #UTIL: 688
15818 16985  #SUP: 1 #UTIL: 688
45968 16890 8275 39388  #SUP: 1 #UTIL: 688
31  #SUP: 1 #UTIL: 689
15875 2577  #SUP: 1 #UTIL: 694
298 39203  #SUP: 1 #UTIL: 695
37761 37757 4719 14345 39684  #SUP: 1 #UTIL: 695
40399 39334  #SUP: 1 #UTIL: 696
5316 34994 5335  #SUP: 1 #UTIL: 697
24358  #SUP: 2 #UTIL: 598
24358 1925  #SUP: 1 #UTIL: 398
34556 19199 21291  #SUP: 1 #UTIL: 697
30960 39127  #SUP: 1 #UTIL: 698
5590  #SUP: 1 #UTIL: 699
12935  #SUP: 1 #UTIL: 699
29277 44427  #SUP: 1 #UTIL: 699
17130 11864 39256 39684  #SUP: 1 #UTIL: 705
29111 21371 21372  #SUP: 1 #UTIL: 707
9742 1763  #SUP: 1 #UTIL: 714
11192 2303 5666  #SUP: 1 #UTIL: 715
23913 11560  #SUP: 1 #UTIL: 716
14119 32831  #SUP: 1 #UTIL: 718
26055 6062  #SUP: 1 #UTIL: 718
27924 27920  #SUP: 1 #UTIL: 718
30171 16157 14870 9425 16842  #SUP: 1 #UTIL: 721
7568 5517  #SUP: 1 #UTIL: 723
25474 43506 16883  #SUP: 1 #UTIL: 724
36813 1458 13870 31529  #SUP: 1 #UTIL: 726
7711 13710 39684  #SUP: 1 #UTIL: 728
11984 3300  #SUP: 1 #UTIL: 728
36115 13736 39452 16985  #SUP: 1 #UTIL: 736
10898 4402 43873 13869 13870  #SUP: 1 #UTIL: 738
24362 21248  #SUP: 1 #UTIL: 738
37799 5689  #SUP: 1 #UTIL: 738
7982  #SUP: 1 #UTIL: 739
16727 23997 8278 13743  #SUP: 1 #UTIL: 746
26676 39844 24164 27757  #SUP: 1 #UTIL: 746
32140 32139 14267 4374  #SUP: 1 #UTIL: 746
15119 23521 36305  #SUP: 1 #UTIL: 747
15282 34596  #SUP: 1 #UTIL: 747
42634 13730 13743  #SUP: 1 #UTIL: 747
16074 13749  #SUP: 1 #UTIL: 748
34864  #SUP: 1 #UTIL: 749
10066 14862 15626 1745  #SUP: 1 #UTIL: 757
14240 32130 32131 16330 16329  #SUP: 1 #UTIL: 757
5817  #SUP: 2 #UTIL: 758
5937 11977  #SUP: 1 #UTIL: 758
5986 39206  #SUP: 1 #UTIL: 758
8209 1936  #SUP: 1 #UTIL: 758
11266 12018  #SUP: 1 #UTIL: 758
11619 30070 21259  #SUP: 1 #UTIL: 758
28246 18782 28250 28252  #SUP: 1 #UTIL: 761
72 11854 16969 16292  #SUP: 1 #UTIL: 762
17026 16160  #SUP: 1 #UTIL: 764
24721 39239 23195  #SUP: 1 #UTIL: 765
3379  #SUP: 2 #UTIL: 238
3379 3350 15224  #SUP: 1 #UTIL: 647
30686 22831 28535  #SUP: 1 #UTIL: 766
32109 35149 32106  #SUP: 1 #UTIL: 767
17473 5575 17469 3560 21297  #SUP: 1 #UTIL: 769
29844 11278 39588  #SUP: 1 #UTIL: 774
31798 31789 31797  #SUP: 1 #UTIL: 774
781 5682 10496 39393 39684  #SUP: 1 #UTIL: 777
6661 6685  #SUP: 1 #UTIL: 777
8928 2072  #SUP: 1 #UTIL: 778
11795 5634  #SUP: 1 #UTIL: 778
30855 30871  #SUP: 1 #UTIL: 778
39024 21258  #SUP: 1 #UTIL: 778
4845 31043  #SUP: 1 #UTIL: 783
27803 39157  #SUP: 1 #UTIL: 787
39816 17530 21528 21532 8117  #SUP: 1 #UTIL: 788
32242 32245 32234 32240 32235 32231  #SUP: 1 #UTIL: 792
8011 24243 4368 39686 39334  #SUP: 1 #UTIL: 795
2739 8210 9150 24004 39684  #SUP: 1 #UTIL: 796
17299 35746  #SUP: 1 #UTIL: 797
24275 44245 3664 1781  #SUP: 1 #UTIL: 797
30853 24860 39435  #SUP: 1 #UTIL: 797
1988 2015  #SUP: 1 #UTIL: 798
5900  #SUP: 1 #UTIL: 798
6098 23147  #SUP: 1 #UTIL: 798
29641 36234  #SUP: 1 #UTIL: 798
30362 5747  #SUP: 1 #UTIL: 798
45924 43347  #SUP: 1 #UTIL: 798
15191  #SUP: 1 #UTIL: 799
24407  #SUP: 1 #UTIL: 799
31745 10843 31534 39256 39684  #SUP: 1 #UTIL: 799
38827 10845 21818 6772 39432  #SUP: 1 #UTIL: 801
2671 14175 25203 29135  #SUP: 1 #UTIL: 806
26637  #SUP: 2 #UTIL: 698
26637 16857  #SUP: 1 #UTIL: 458
2133 33678  #SUP: 1 #UTIL: 808
24547 5299  #SUP: 1 #UTIL: 808
43713 7355 2273 12300  #SUP: 1 #UTIL: 812
2816 21735  #SUP: 1 #UTIL: 814
1457 1348 12860 4365 39634  #SUP: 1 #UTIL: 816
9533 39544 13716  #SUP: 1 #UTIL: 817
21101 19989 26156  #SUP: 1 #UTIL: 817
9314  #SUP: 2 #UTIL: 818
15239 23197  #SUP: 1 #UTIL: 818
16733 35151  #SUP: 1 #UTIL: 818
12128 43463  #SUP: 1 #UTIL: 819
26885 39420  #SUP: 1 #UTIL: 819
30935 4379  #SUP: 1 #UTIL: 825
3387 5182  #SUP: 1 #UTIL: 828
17119 5650  #SUP: 1 #UTIL: 828
20739 24004 39684  #SUP: 1 #UTIL: 828
16371 22891 10687 39334  #SUP: 1 #UTIL: 832
35947 35918 33149 3281 39191  #SUP: 1 #UTIL: 834
16466 28537 5666  #SUP: 1 #UTIL: 836
32839 32840 5668  #SUP: 1 #UTIL: 837
28165 42709  #SUP: 1 #UTIL: 838
1305 39288 43553 43551  #SUP: 1 #UTIL: 841
2715 43640 2910 16970 13750  #SUP: 1 #UTIL: 841
3878 19075 16977  #SUP: 1 #UTIL: 843
29415 524 23717  #SUP: 1 #UTIL: 843
22444 11426 4741 5666  #SUP: 1 #UTIL: 844
26715 29249  #SUP: 1 #UTIL: 844
17080 8631 1916 1955  #SUP: 1 #UTIL: 846
27387 39456 39640 39452 16977  #SUP: 1 #UTIL: 848
14891 30608  #SUP: 1 #UTIL: 849
39480 1761 13478  #SUP: 1 #UTIL: 852
36138 36684 36193 5645  #SUP: 1 #UTIL: 856
867 21318 16861 10889 39191  #SUP: 1 #UTIL: 857
10515 27040 2018  #SUP: 1 #UTIL: 857
43942 1758  #SUP: 1 #UTIL: 865
39438 4123 43804 5667 13743  #SUP: 1 #UTIL: 866
15958 9183 12407  #SUP: 1 #UTIL: 867
27482 27491 27489  #SUP: 1 #UTIL: 867
4546 15802 10890 13743  #SUP: 1 #UTIL: 868
13412 14737  #SUP: 1 #UTIL: 868
574 6015 11783 5666  #SUP: 1 #UTIL: 877
17539 21309  #SUP: 1 #UTIL: 878
29202 12016  #SUP: 1 #UTIL: 878
33944 10949 44427  #SUP: 1 #UTIL: 878
4359 1864 34352 11933 1935  #SUP: 1 #UTIL: 885
1106 38596 12237 21258 11783  #SUP: 1 #UTIL: 886
40032 5523 12529 12530 12525 21108 12524 6018  #SUP: 1 #UTIL: 888
19833 21301 9107 39473 21258  #SUP: 1 #UTIL: 892
2350 39184  #SUP: 1 #UTIL: 898
23172 32724 39359  #SUP: 1 #UTIL: 898
36122 29603  #SUP: 1 #UTIL: 898
42594 28265  #SUP: 1 #UTIL: 898
33682 5078 5635  #SUP: 1 #UTIL: 905
1598 41188 11632 3992 16976  #SUP: 1 #UTIL: 906
16005 4411 8277 8275 8273 18564  #SUP: 1 #UTIL: 906
36811 36935 30573 9434 16268  #SUP: 1 #UTIL: 906
692 12292 12255  #SUP: 1 #UTIL: 907
34794 5711 5294  #SUP: 1 #UTIL: 907
4319 1544 8345 11832  #SUP: 1 #UTIL: 908
34971 23277 39184  #SUP: 1 #UTIL: 908
14131 7927 39191  #SUP: 1 #UTIL: 913
1901 7928 5370 14540 13710  #SUP: 1 #UTIL: 915
16338 27054  #SUP: 1 #UTIL: 916
10143 16120 16129 39276  #SUP: 1 #UTIL: 918
2248 12015 8361  #SUP: 1 #UTIL: 927
9388 22809 18476  #SUP: 1 #UTIL: 927
9523 20883 10699  #SUP: 1 #UTIL: 927
11956 16976  #SUP: 1 #UTIL: 928
6279 6919 21572  #SUP: 1 #UTIL: 933
36061 3953 4576 21280  #SUP: 1 #UTIL: 935
37340 34964 43904 21301 1770  #SUP: 1 #UTIL: 936
16442 39681  #SUP: 1 #UTIL: 938
18133 8640  #SUP: 1 #UTIL: 939
8003 7779 39420 39388 39432  #SUP: 1 #UTIL: 942
27467 6024 43463  #SUP: 1 #UTIL: 944
29604 29397 31025  #SUP: 1 #UTIL: 944
37848 6825 5015 4395  #SUP: 1 #UTIL: 946
9418 21115 12605 21117 7287  #SUP: 1 #UTIL: 947
17611 4919 4921  #SUP: 1 #UTIL: 947
30407 39082 5646  #SUP: 1 #UTIL: 947
11659 3195  #SUP: 1 #UTIL: 948
32151 39831 42514 31679 3276 10843 39191  #SUP: 1 #UTIL: 950
26663  #SUP: 2 #UTIL: 398
26663 8325 39191  #SUP: 1 #UTIL: 453
26663 44266 39333  #SUP: 1 #UTIL: 498
2713 26217 6547 21736  #SUP: 1 #UTIL: 952
21450 6922  #SUP: 1 #UTIL: 954
6630 33128 38609 656 9430 39684  #SUP: 1 #UTIL: 955
486 24201 16975 16967  #SUP: 1 #UTIL: 956
34867 14535 16118  #SUP: 1 #UTIL: 956
30032 23815 16975  #SUP: 1 #UTIL: 957
14892 32171  #SUP: 1 #UTIL: 958
17671 17893  #SUP: 1 #UTIL: 958
31597  #SUP: 1 #UTIL: 958
37155 16886 3510  #SUP: 1 #UTIL: 958
18414  #SUP: 1 #UTIL: 959
23738  #SUP: 1 #UTIL: 959
19488 36212 19381 16132 13874 476 11832 16118 39687 11844  #SUP: 1 #UTIL: 960
778 24688 13478 21850 21893  #SUP: 1 #UTIL: 963
8969 2822 1817 21286 26149  #SUP: 1 #UTIL: 965
27987 5096 1847 39419  #SUP: 1 #UTIL: 965
21146 21152 4349 16985  #SUP: 1 #UTIL: 966
30683 9461 13987 9462  #SUP: 1 #UTIL: 968
30522  #SUP: 2 #UTIL: 198
35280  #SUP: 1 #UTIL: 969
15061 35371 9429  #SUP: 1 #UTIL: 973
4009 16345 2268 36202 26149  #SUP: 1 #UTIL: 975
8013 5682 7987 5649 5666  #SUP: 1 #UTIL: 975
5797 17375 33811  #SUP: 1 #UTIL: 976
28430 2168 1959 2181 5711 39333  #SUP: 1 #UTIL: 979
8042 44444 43913 43868 1782 16967  #SUP: 1 #UTIL: 980
38632 15225 10946  #SUP: 1 #UTIL: 987
33853 1541  #SUP: 1 #UTIL: 988
23535 634 39458 39687  #SUP: 1 #UTIL: 992
146 24894 21044 1942 4123  #SUP: 1 #UTIL: 995
23837 7228 12406 12408  #SUP: 1 #UTIL: 995
4574 13057 4536 4389  #SUP: 1 #UTIL: 996
10327 5705 10352 10325 24002 44327  #SUP: 1 #UTIL: 996
7720 39681  #SUP: 1 #UTIL: 997
11926 2441 7283 44522  #SUP: 1 #UTIL: 997
32220 33849 39156  #SUP: 1 #UTIL: 997
39901 39903 14911  #SUP: 1 #UTIL: 997
20355 32260 30680 26515 12523 15464 5650  #SUP: 1 #UTIL: 998
22417 8761 10732  #SUP: 1 #UTIL: 998
22932 35329  #SUP: 1 #UTIL: 998
638  #SUP: 1 #UTIL: 999
45985  #SUP: 1 #UTIL: 1000
42898 31698 41135 12588 21781 39388  #SUP: 1 #UTIL: 1002
24809 14647 3643 43804 39430  #SUP: 1 #UTIL: 1003
24516 24515 46068 26440 37411 19899  #SUP: 1 #UTIL: 1004
43744 2260 2259  #SUP: 1 #UTIL: 1004
27035 22010 4972 13730 39430  #SUP: 1 #UTIL: 1005
12388 14689 41819 14616  #SUP: 1 #UTIL: 1006
35048 14862 16152 13870  #SUP: 1 #UTIL: 1007
13153 13145 14284 5722  #SUP: 1 #UTIL: 1008
18967 18968  #SUP: 1 #UTIL: 1008
30185 32620 15451 39481 39432  #SUP: 1 #UTIL: 1011
44233  #SUP: 2 #UTIL: 400
44233 8276 12032  #SUP: 1 #UTIL: 612
44233 12407  #SUP: 1 #UTIL: 399
11374 24965  #SUP: 1 #UTIL: 1014
11523 16975  #SUP: 1 #UTIL: 1014
28698 16145 16152 11416 39681  #SUP: 1 #UTIL: 1014
38603 2768  #SUP: 1 #UTIL: 1014
1420 19326 16975  #SUP: 1 #UTIL: 1017
15409 39515 39314  #SUP: 1 #UTIL: 1017
20690 21752 1758  #SUP: 1 #UTIL: 1017
22719 36114 36202  #SUP: 1 #UTIL: 1017
35592 6024  #SUP: 1 #UTIL: 1024
2437 5978 13996 13627 4933  #SUP: 1 #UTIL: 1025
