1373  #SUP: 25 #UTIL: 25560
69 435 1290  #SUP: 2 #UTIL: 5484
69 435 1290 1444 346 1028 502  #SUP: 1 #UTIL: 5851
69 1444  #SUP: 2 #UTIL: 3092
69 1444 312 861 1051  #SUP: 1 #UTIL: 2609
69 1538 386 1288 142 1305 935 1018  #SUP: 1 #UTIL: 5292
69 49 1550 1024  #SUP: 1 #UTIL: 3434
69 1257 1540 691 541 984 32  #SUP: 1 #UTIL: 4830
69 1407 1351 585 1168 752 159  #SUP: 1 #UTIL: 3799
69 824 82 275 585 59 1234  #SUP: 1 #UTIL: 5408
69 884  #SUP: 2 #UTIL: 4300
69 1028  #SUP: 2 #UTIL: 3738
69 306 340 356  #SUP: 1 #UTIL: 2842
69 839  #SUP: 2 #UTIL: 2124
69 839 406 63 362 223 1498  #SUP: 1 #UTIL: 5825
69 312 861  #SUP: 2 #UTIL: 4395
69 957 142  #SUP: 1 #UTIL: 2517
69 585  #SUP: 2 #UTIL: 3294
69 142  #SUP: 2 #UTIL: 3716
272  #SUP: 19 #UTIL: 22678
272 1291 941 958 1387 914  #SUP: 1 #UTIL: 5109
272 1160 235 1077 345 755  #SUP: 1 #UTIL: 6064
272 888 322 599 615 738  #SUP: 1 #UTIL: 4218
272 448 1093 1314 332 438 681  #SUP: 1 #UTIL: 4602
272 1380 1104 1314 1520 112  #SUP: 1 #UTIL: 4657
272 1347 276 1068 1091 665  #SUP: 1 #UTIL: 5597
272 382 276 965 1198 465 216  #SUP: 1 #UTIL: 5036
272 489  #SUP: 2 #UTIL: 3642
272 489 932 482 782  #SUP: 1 #UTIL: 3059
272 1264  #SUP: 2 #UTIL: 4538
272 1264 555 228 1108 1557  #SUP: 1 #UTIL: 4519
272 1264 921 915 705 1364 1215  #SUP: 1 #UTIL: 5150
272 278 1293 634 572 201  #SUP: 1 #UTIL: 4301
272 276  #SUP: 2 #UTIL: 4271
272 1547 418 322 1530 861 89 1503  #SUP: 1 #UTIL: 6557
272 1094 1315 439 1404  #SUP: 1 #UTIL: 4293
272 1314  #SUP: 2 #UTIL: 3057
272 322  #SUP: 2 #UTIL: 4525
272 881 245 128 145 95  #SUP: 1 #UTIL: 3146
272 471 1154 12 628 561 195  #SUP: 1 #UTIL: 3540
272 478 834 1360  #SUP: 1 #UTIL: 3848
272 788 465 954  #SUP: 1 #UTIL: 3310
272 465  #SUP: 2 #UTIL: 3821
272 998 688  #SUP: 1 #UTIL: 2230
1521  #SUP: 21 #UTIL: 4550
1521 1012 1049 406  #SUP: 1 #UTIL: 3105
1521 313 80 1538 409 852 1494 263  #SUP: 1 #UTIL: 6310
1521 246  #SUP: 2 #UTIL: 2276
1521 246 386 835 542 1478 392 296  #SUP: 1 #UTIL: 4420
1521 246 445 556 1544 29 1155  #SUP: 1 #UTIL: 4388
1521 1338 1384 330 396 1185  #SUP: 1 #UTIL: 4427
1521 918 219 1272 1438 463 696  #SUP: 1 #UTIL: 4215
1521 435 1150 878 1250 1134 1483 1433  #SUP: 1 #UTIL: 5810
1521 1444 1261 252 163 845 356 319  #SUP: 1 #UTIL: 3455
1521 1278 419 196  #SUP: 1 #UTIL: 3048
1521 1094 712 19 129 212  #SUP: 1 #UTIL: 5449
1521 235 1504 568 1178 92  #SUP: 1 #UTIL: 4603
1521 832 1548 1421 799 499  #SUP: 1 #UTIL: 5740
1521 219  #SUP: 2 #UTIL: 1862
1521 219 706 596  #SUP: 1 #UTIL: 2132
1521 418 1204 452 568 468 595  #SUP: 1 #UTIL: 4054
1521 1272  #SUP: 2 #UTIL: 2086
1521 1272 492 488 933 90 1307  #SUP: 1 #UTIL: 3853
1521 568  #SUP: 2 #UTIL: 2418
1521 1049  #SUP: 2 #UTIL: 2918
1521 1049 726 676 439 826 710  #SUP: 1 #UTIL: 5463
1521 366 1128  #SUP: 1 #UTIL: 1771
1521 1099 384 533 413 1382 1055  #SUP: 1 #UTIL: 3094
1521 1517 779  #SUP: 1 #UTIL: 746
1521 213  #SUP: 1 #UTIL: 434
1389  #SUP: 21 #UTIL: 15254
1389 281 1113 1529 1323 120  #SUP: 1 #UTIL: 4645
1389 170 1472 1223 414 647 1283  #SUP: 1 #UTIL: 4945
1389 1160 1416 207 717 1355 1532 1033  #SUP: 1 #UTIL: 5832
1389 1472  #SUP: 3 #UTIL: 3864
1389 1472 819 430 1279 796  #SUP: 2 #UTIL: 9535
1389 447 380 1229 14 1236  #SUP: 1 #UTIL: 3862
1389 1007 1506 1496 1329  #SUP: 1 #UTIL: 3472
1389 813 1412 736 1206 424 623  #SUP: 1 #UTIL: 3481
1389 1378 996  #SUP: 1 #UTIL: 1348
1389 903 530 1279 647 1152 564  #SUP: 1 #UTIL: 5699
1389 530  #SUP: 2 #UTIL: 3458
1389 530 883 879 147 646  #SUP: 1 #UTIL: 3447
1389 370 1039 1002 1289 286 1112 253  #SUP: 1 #UTIL: 4252
1389 907 541 930 1500 25  #SUP: 2 #UTIL: 8559
1389 574 64 1246 603 1273  #SUP: 1 #UTIL: 3880
1389 1146  #SUP: 2 #UTIL: 2857
1389 1146 380 1073 570  #SUP: 1 #UTIL: 3440
1389 1146 569  #SUP: 1 #UTIL: 2192
1389 1402 1079 886 10  #SUP: 1 #UTIL: 3899
1389 380  #SUP: 2 #UTIL: 1803
1389 1356 834 547  #SUP: 1 #UTIL: 2850
1389 1279  #SUP: 3 #UTIL: 5360
1389 468 1057 913 441 784  #SUP: 1 #UTIL: 2228
1389 647  #SUP: 2 #UTIL: 3496
1389 37 996 1379 1000 347  #SUP: 1 #UTIL: 3602
1389 996  #SUP: 2 #UTIL: 2435
1012  #SUP: 23 #UTIL: 19861
1012 326 447 1435 969 297 1295  #SUP: 1 #UTIL: 4150
1012 313 556 1366 789 57 1532  #SUP: 1 #UTIL: 5663
1012 1472 24 1416 989 107 623  #SUP: 1 #UTIL: 5311
1012 352 1039 1467 662 912 1434 1135  #SUP: 1 #UTIL: 4828
1012 30 1405  #SUP: 3 #UTIL: 4462
1012 30 1405 823  #SUP: 2 #UTIL: 5092
1012 30 1405 823 370 526 1349  #SUP: 1 #UTIL: 4882
1012 30 1405 823 274  #SUP: 1 #UTIL: 3668
1012 30 1405 273 906 1515 822  #SUP: 1 #UTIL: 3222
1012 1089 486 130 286 1069  #SUP: 1 #UTIL: 3521
1012 1261 1361 342 1085 1388 259 226  #SUP: 1 #UTIL: 1843
1012 137 380 1119 64  #SUP: 1 #UTIL: 4215
1012 1522 407 663  #SUP: 1 #UTIL: 2819
1012 1504 1061 589 729  #SUP: 1 #UTIL: 3124
1012 1439 430 619 1196  #SUP: 1 #UTIL: 3046
1012 889 1432 1312 230  #SUP: 1 #UTIL: 2763
1012 868 423 739 396 1344  #SUP: 1 #UTIL: 4008
1012 712 589  #SUP: 1 #UTIL: 2938
1012 20 303 892 1534  #SUP: 1 #UTIL: 4088
1012 247 1401 1422  #SUP: 1 #UTIL: 2666
1012 1316 846 833 1095  #SUP: 1 #UTIL: 3237
1012 806 796 1322 596  #SUP: 1 #UTIL: 3012
1012 1438 1032 1195 429  #SUP: 1 #UTIL: 2383
1012 589  #SUP: 2 #UTIL: 3798
1012 1355 70  #SUP: 1 #UTIL: 1826
304  #SUP: 23 #UTIL: 13607
304 470 714 1539 1346 364 481  #SUP: 1 #UTIL: 7043
304 391 1007 441  #SUP: 2 #UTIL: 3453
304 391 1007 441 321  #SUP: 1 #UTIL: 2308
304 391 1007 441 863 320 857  #SUP: 1 #UTIL: 4107
304 67 1126  #SUP: 1 #UTIL: 1287
304 963 813 1485 1529 1256 254 807  #SUP: 1 #UTIL: 4705
304 283 903 227 1259 466  #SUP: 1 #UTIL: 4232
304 508 724 445 753 882 456 66 62  #SUP: 1 #UTIL: 8147
304 813 1485 1529 1256 254  #SUP: 2 #UTIL: 6872
304 813 1485 1529 1256 254 1512 71  #SUP: 1 #UTIL: 4440
304 1076 1146 760 537 61  #SUP: 1 #UTIL: 5043
304 54 111 221 1259 803  #SUP: 1 #UTIL: 4642
304 1453 417 980 744 1333 461  #SUP: 1 #UTIL: 4252
304 940 1412 154 331 187 204  #SUP: 1 #UTIL: 4753
304 121 231 1096 547 1286  #SUP: 1 #UTIL: 5004
304 1406 1163 81  #SUP: 1 #UTIL: 1596
304 1136 999 932 1086 1552 1015 144  #SUP: 1 #UTIL: 2623
304 394 28 1403 987 460 1249  #SUP: 1 #UTIL: 5333
304 1252 1109 1125  #SUP: 1 #UTIL: 2793
304 1259  #SUP: 2 #UTIL: 2418
304 100 521  #SUP: 1 #UTIL: 2220
304 1509 1053  #SUP: 1 #UTIL: 1533
304 254  #SUP: 3 #UTIL: 2695
304 188  #SUP: 1 #UTIL: 636
304 820 294  #SUP: 1 #UTIL: 1362
1161  #SUP: 18 #UTIL: 21540
1161 222 378 1504 312 1321 23 1038  #SUP: 1 #UTIL: 5906
1161 1493 474 1117 1443 1144 31  #SUP: 1 #UTIL: 5628
1161 1444 1118 1494 475 32  #SUP: 1 #UTIL: 5163
1161 352  #SUP: 2 #UTIL: 2690
1161 352 1328 1411 735 1218  #SUP: 1 #UTIL: 4835
1161 751 512 9 1554 1544 202  #SUP: 1 #UTIL: 6986
1161 1378 130 962 783 779 1172  #SUP: 1 #UTIL: 4541
1161 922 340 506 1471 1382  #SUP: 1 #UTIL: 3537
1161 878 512 1361 901  #SUP: 1 #UTIL: 4446
1161 1310 745 607  #SUP: 1 #UTIL: 3359
1161 1315 373 306 1155 1498  #SUP: 1 #UTIL: 4038
1161 1514 1277 1510  #SUP: 1 #UTIL: 2559
1161 329 452 1361 125 385 169 1005  #SUP: 1 #UTIL: 6215
1161 73  #SUP: 1 #UTIL: 2009
1161 512  #SUP: 2 #UTIL: 5423
1161 1184 369 778  #SUP: 1 #UTIL: 3392
1161 1361  #SUP: 2 #UTIL: 3958
1161 1267 1350 1101 292 525  #SUP: 1 #UTIL: 5083
1161 1484 1544 103 92  #SUP: 1 #UTIL: 2381
1161 1544  #SUP: 2 #UTIL: 4040
545  #SUP: 20 #UTIL: 9419
545 179 408 1028 568 612 828  #SUP: 1 #UTIL: 5919
545 378 1200 884 25 141 1420 374  #SUP: 1 #UTIL: 4469
545 387 83 608 1475 167 1244 666  #SUP: 1 #UTIL: 4552
545 422 1254 219 1098 262 479 1454  #SUP: 1 #UTIL: 6717
545 1338 1348 306 1554 955  #SUP: 1 #UTIL: 4978
545 918 1267 1294 1168 662 579  #SUP: 1 #UTIL: 4747
545 352 152 306 1061 295 462 1427  #SUP: 1 #UTIL: 5402
545 1150 102 1188 801  #SUP: 1 #UTIL: 3505
545 266 921 289 1031 1027 206  #SUP: 1 #UTIL: 2812
545 751 1061 335  #SUP: 1 #UTIL: 2027
545 1254 262  #SUP: 2 #UTIL: 4800
545 1254 262 8 218 684  #SUP: 1 #UTIL: 4163
545 1121 634 951 312 295 262 25  #SUP: 1 #UTIL: 6866
545 322 861 89 1404  #SUP: 1 #UTIL: 3817
545 1204 915 761 755 112  #SUP: 1 #UTIL: 4330
545 306  #SUP: 2 #UTIL: 3892
545 1267  #SUP: 2 #UTIL: 2294
545 1267 944 1443 1433  #SUP: 1 #UTIL: 2226
545 529 1082 616 1232 666  #SUP: 1 #UTIL: 2923
545 1061  #SUP: 2 #UTIL: 1410
545 295  #SUP: 2 #UTIL: 2575
545 262  #SUP: 3 #UTIL: 3357
545 25  #SUP: 2 #UTIL: 2244
545 1248 385 156 805 588  #SUP: 1 #UTIL: 4011
545 56 1298 1371 688  #SUP: 1 #UTIL: 2253
545 1454  #SUP: 2 #UTIL: 2904
545 561  #SUP: 1 #UTIL: 819
545 666  #SUP: 2 #UTIL: 1872
179  #SUP: 19 #UTIL: 17875
179 988 1493 1048 1364 412 1021  #SUP: 1 #UTIL: 5793
179 422 1398 878 1481 1232 655  #SUP: 1 #UTIL: 5080
179 728  #SUP: 2 #UTIL: 3059
179 728 918 812 668 1494 1421  #SUP: 1 #UTIL: 4641
179 728 795 25 362 19  #SUP: 1 #UTIL: 4819
179 772 606 1427 90 1188 782 1371  #SUP: 1 #UTIL: 3152
179 1045 1068 252 641 662 13  #SUP: 1 #UTIL: 6434
179 1547 102 572  #SUP: 1 #UTIL: 3790
179 149 848 965 1198  #SUP: 1 #UTIL: 4459
179 940 834 944 458 202 119  #SUP: 1 #UTIL: 3882
179 1088 975 572 775 1191 638  #SUP: 1 #UTIL: 6554
179 1504 718 1328 1388 689  #SUP: 1 #UTIL: 4053
179 1077 715 721 462 645  #SUP: 1 #UTIL: 5404
179 1028  #SUP: 2 #UTIL: 3320
179 1028 23 745 961 905  #SUP: 1 #UTIL: 3505
179 839 389 396  #SUP: 1 #UTIL: 3796
179 1328  #SUP: 2 #UTIL: 3506
179 1328 585 1255  #SUP: 1 #UTIL: 2529
179 572  #SUP: 2 #UTIL: 3931
179 1134  #SUP: 1 #UTIL: 1464
179 1144 595 1055  #SUP: 1 #UTIL: 1935
602  #SUP: 22 #UTIL: 13696
602 246 1384 1261 169 126  #SUP: 1 #UTIL: 4881
602 918 631 1417 1240 1301 92  #SUP: 1 #UTIL: 4012
602 1518  #SUP: 2 #UTIL: 3182
602 1518 1224 1068 515 232  #SUP: 1 #UTIL: 4117
602 1518 1075 979  #SUP: 1 #UTIL: 3612
602 1224  #SUP: 2 #UTIL: 2276
602 1224 1351 1324 718 974 635 1461  #SUP: 1 #UTIL: 4825
602 435 685  #SUP: 1 #UTIL: 2233
602 1278 659 1434  #SUP: 1 #UTIL: 2769
602 1045 270 569 147 1318 47  #SUP: 1 #UTIL: 5790
602 685  #SUP: 3 #UTIL: 3731
602 685 941 569 1318 1191 1428  #SUP: 1 #UTIL: 6274
602 685 1354 568 173 46 146  #SUP: 1 #UTIL: 5111
602 346 952 1461  #SUP: 1 #UTIL: 3254
602 1511 192 985 1008 581  #SUP: 1 #UTIL: 3159
602 219 529 952 1122 440 956 719  #SUP: 1 #UTIL: 4395
602 1290 568 1190 1317  #SUP: 1 #UTIL: 3028
602 373 1488 978  #SUP: 1 #UTIL: 2990
602 568  #SUP: 2 #UTIL: 2735
602 1251 292 841 76 99 86  #SUP: 1 #UTIL: 6127
602 569 1318  #SUP: 2 #UTIL: 4584
602 952  #SUP: 2 #UTIL: 3398
602 1117 808 392  #SUP: 1 #UTIL: 1824
602 186 1152 1256 1062  #SUP: 1 #UTIL: 3189
602 1138 1438  #SUP: 1 #UTIL: 1678
602 629 1074 1218 929 1551 945  #SUP: 1 #UTIL: 2108
602 1025 725  #SUP: 1 #UTIL: 1523
602 1461  #SUP: 2 #UTIL: 3076
222  #SUP: 18 #UTIL: 22910
222 378  #SUP: 2 #UTIL: 3147
222 378 1357 1104 82 16 578  #SUP: 1 #UTIL: 5545
222 1497  #SUP: 2 #UTIL: 5726
222 1497 361 405 482 837 62  #SUP: 1 #UTIL: 7076
222 1497 932 1454 1225  #SUP: 1 #UTIL: 4159
222 639 173 516 788 499  #SUP: 1 #UTIL: 3658
222 266 1108 1551  #SUP: 1 #UTIL: 3672
222 30 1439 958 1139 205 349  #SUP: 1 #UTIL: 4703
222 1547 1175 798 160 858  #SUP: 1 #UTIL: 5193
222 1121 101 788 644 85 172  #SUP: 1 #UTIL: 4337
222 1436 494 205 351  #SUP: 1 #UTIL: 3993
222 22 1364 1297 1320 931  #SUP: 1 #UTIL: 4453
222 1487 494 1437 205 345 351 827  #SUP: 1 #UTIL: 5822
222 742 332 1148 1064 259  #SUP: 1 #UTIL: 4808
222 1260 312 1530 384 628  #SUP: 1 #UTIL: 3109
222 312  #SUP: 2 #UTIL: 3830
222 494 205 351  #SUP: 2 #UTIL: 7392
222 865  #SUP: 1 #UTIL: 2021
222 678 455 1537 1065 1032 994  #SUP: 1 #UTIL: 4932
222 205  #SUP: 3 #UTIL: 6660
222 788  #SUP: 2 #UTIL: 2250
222 39  #SUP: 1 #UTIL: 2740
470  #SUP: 19 #UTIL: 18259
470 1423 408 1406 137 1080  #SUP: 1 #UTIL: 4928
470 459 985 77  #SUP: 1 #UTIL: 1909
470 308 231 907 287 1263  #SUP: 1 #UTIL: 3713
470 520 1357 1086 797 936 814  #SUP: 1 #UTIL: 5662
470 276 959 792  #SUP: 1 #UTIL: 3652
470 426 404 37 680 686  #SUP: 1 #UTIL: 3087
470 260 676 986 536  #SUP: 1 #UTIL: 3837
470 530 720 1219  #SUP: 1 #UTIL: 4178
470 321 1463 104 1259 217 1325  #SUP: 1 #UTIL: 4096
470 94 443 980 1279 1313 343  #SUP: 1 #UTIL: 5176
470 1080  #SUP: 2 #UTIL: 3420
470 1080 443 1552 293 343 327  #SUP: 1 #UTIL: 3710
470 443 343  #SUP: 2 #UTIL: 3687
470 487 558 1506 1030 1173 171  #SUP: 1 #UTIL: 5798
470 480 996 87  #SUP: 1 #UTIL: 2587
470 1153 986 250  #SUP: 1 #UTIL: 3461
470 410 88 587  #SUP: 1 #UTIL: 3279
470 1192 1092  #SUP: 1 #UTIL: 1975
470 986  #SUP: 2 #UTIL: 3838
470 1035 420 746  #SUP: 1 #UTIL: 3304
988  #SUP: 18 #UTIL: 24187
988 422 715 372 1258 698 838  #SUP: 1 #UTIL: 6084
988 728 772 339 1281 1431 982  #SUP: 1 #UTIL: 6769
988 1398 223 1377  #SUP: 1 #UTIL: 4116
988 1338 1005 1434 319 961  #SUP: 1 #UTIL: 3327
988 1497 382 638  #SUP: 1 #UTIL: 4028
988 772  #SUP: 3 #UTIL: 7188
988 772 339 1281 1431 982  #SUP: 2 #UTIL: 12072
988 772 339 1281 1431 982 1142  #SUP: 1 #UTIL: 7132
988 772 368 1298  #SUP: 1 #UTIL: 2636
988 382  #SUP: 2 #UTIL: 3499
988 382 925 66  #SUP: 1 #UTIL: 2723
988 200 50 1192 360 1055  #SUP: 1 #UTIL: 4268
988 882 245 12 183 1071 822  #SUP: 1 #UTIL: 5136
988 1088 366  #SUP: 1 #UTIL: 3119
988 333 1208 749 932 1298 1009  #SUP: 1 #UTIL: 4744
988 1431  #SUP: 3 #UTIL: 6949
988 1431 102  #SUP: 1 #UTIL: 2419
988 884 368 771  #SUP: 1 #UTIL: 3748
988 312 1144  #SUP: 1 #UTIL: 1763
988 368  #SUP: 2 #UTIL: 4046
988 395 877  #SUP: 1 #UTIL: 3844
988 1298  #SUP: 2 #UTIL: 3196
326  #SUP: 18 #UTIL: 13091
326 1282 772 266 442 1311 396 440  #SUP: 1 #UTIL: 7063
326 1291 925 1314 409 16 216  #SUP: 1 #UTIL: 5465
326 83 520 1402 876 676 1479 1458  #SUP: 1 #UTIL: 6806
326 963 1435 353 210 226 176  #SUP: 1 #UTIL: 4118
326 446 370 26 187 802 1462  #SUP: 1 #UTIL: 3692
326 276  #SUP: 1 #UTIL: 2146
326 54 1268 37  #SUP: 1 #UTIL: 2483
326 1407 1359 548 1443 384 1193  #SUP: 1 #UTIL: 3622
326 191 1200 492 101 503 1383 1148  #SUP: 1 #UTIL: 6739
326 1362 370 653 1533 792 586 116  #SUP: 1 #UTIL: 5786
326 486 532 332 1035 1102 669  #SUP: 1 #UTIL: 4366
326 370  #SUP: 2 #UTIL: 2126
326 376 239 942 256  #SUP: 1 #UTIL: 3582
326 1142 1375 965 1025 642  #SUP: 1 #UTIL: 4270
326 609 53 1162 1318 696  #SUP: 1 #UTIL: 3677
326 1435  #SUP: 2 #UTIL: 3114
326 975 715 692  #SUP: 1 #UTIL: 3149
326 909 516 439 1335 1092  #SUP: 1 #UTIL: 3713
326 1042 666  #SUP: 1 #UTIL: 1237
391  #SUP: 21 #UTIL: 8777
391 281 387 1463 1184 780 1207  #SUP: 1 #UTIL: 5572
391 175 108 887 131 287 591 371  #SUP: 1 #UTIL: 3994
391 528 408 1094 478 944 950  #SUP: 1 #UTIL: 4143
391 308 1487 1316 911 661 1000  #SUP: 1 #UTIL: 2769
391 474 1107 730 980 358  #SUP: 1 #UTIL: 4236
391 813 271 341 957 254 807  #SUP: 1 #UTIL: 4131
391 724 1333 491 248 947 1300 1263  #SUP: 1 #UTIL: 1988
391 685 668 1227 341 957 807  #SUP: 1 #UTIL: 5481
391 1556  #SUP: 2 #UTIL: 2772
391 1556 907 381  #SUP: 1 #UTIL: 2680
391 1556 574 1306 404 953 87 1036  #SUP: 1 #UTIL: 5591
391 634 401 730 285 224 1046  #SUP: 1 #UTIL: 3411
391 584 501 334 1466 345  #SUP: 1 #UTIL: 2805
391 55 607 444  #SUP: 1 #UTIL: 3516
391 1260 624 1233 147 18  #SUP: 1 #UTIL: 2335
391 1213 1196 1339  #SUP: 1 #UTIL: 2963
391 730  #SUP: 3 #UTIL: 2940
391 730 1046  #SUP: 2 #UTIL: 2861
391 811 595 840  #SUP: 1 #UTIL: 2423
391 341 957 807  #SUP: 2 #UTIL: 5756
313  #SUP: 18 #UTIL: 16245
313 170 136 1056 1499 546 197  #SUP: 1 #UTIL: 6550
313 80 1538 263  #SUP: 2 #UTIL: 8098
313 80 1538 263 823 1522 1495 1266  #SUP: 1 #UTIL: 7166
313 267 816  #SUP: 1 #UTIL: 2020
313 489 373 1134 479 722 818  #SUP: 1 #UTIL: 4741
313 1045 812 1049 1554 695  #SUP: 1 #UTIL: 7061
313 756  #SUP: 1 #UTIL: 1927
313 916 896 1079 1322  #SUP: 1 #UTIL: 3796
313 24 1039 380 1162 1505 224 1322  #SUP: 1 #UTIL: 5092
313 346 1099 363 490 1415  #SUP: 1 #UTIL: 4479
313 1116 962 679  #SUP: 1 #UTIL: 2847
313 879 1039 1162 513 157 1095  #SUP: 1 #UTIL: 3695
313 1039 1162  #SUP: 2 #UTIL: 3102
313 1361 1437 1011 116  #SUP: 1 #UTIL: 4776
313 242 363 226 929  #SUP: 1 #UTIL: 2305
